5495.8738	1000    good
5495.876  	1000    good	Ar I
5495.877 	1000    good	Ar I
5498.1841	1000    good
5505.18   	1000    good	Ar I  (10)
5506.1128	1000    good
5506.115  	1000    good	Ar I  (500)
5506.115 	1000    good	Ar I
5524.4   	1000    good	XeIII 40 
5524.957	1000    good
5524.9570	1000    good
5524.960 	1000    good	Ar I
5525.53  	1000    good	XeII 200 
5528.960 	1000    good	Ar I
5531.07  	1000    good	XeII 600 
5533.6788 	1000    good	NeI 75   
5534.45  	1000    good	Ar I
5538.6517 	1000    good	NeI 50   
5554.05		1000    good
5554.050 	1000    good	Ar II
5558.702	1000    good
5558.702  	1000    good	ArI 25
5558.7020	1000    good
5558.703  	1000    good	Ar I  (500)
5558.703 	1000    good	Ar I  (500)
5559.62   	1000    good	Ar I  (200)
5559.62  	1000    good	Ar I  (200)
5562.4426 	1000    good	NeI 150   
5562.7667 	1000    good	NeI 500   
5563.0543 	1000    good	NeI 75   
5566.62  	1000    good	XeI 100 
5570.300    	1000    good	Kr
5572.5413	1000    good
5572.5413	1000    good
5572.543  	1000    good	Ar I
5572.543 	1000    good	Ar I
5577.6845	1000    good
5577.6845	1000    good
5577.689 	1000    good	Ar II
5581.83  	1000    good	Ar I
5581.8714	1000    good
5588.7200	1000    good
5588.721  	1000    good	Ar I
5588.721 	1000    good	Ar I
5589.3510 	1000    good	NeI 50   
5597.4756	1000    good
5597.478  	1000    good	Ar
5597.478 	1000    good	Ar I
5598.5		1000    good
5598.50   	1000    good	Ar
5601.1216	1000    good
5601.1216	1000    good
5606.733	1000    good
5606.733  	1000    good	ArI 35
5606.7330	1000    good
5606.734  	1000    good	Ar I
5606.734 	1000    good	Ar I
5616.67  	1000    good	XeII 300 
5618.010 	1000    good	Ar I
5623.778 	1000    good	Ar I
5635.575 	1000    good	Ar I
5637.29  	1000    good	Ar I
5641.34  	1000    good	Ar I
5641.3751	1000    good
5648.66   	1000    good	Ar I  (200)
5648.66  	1000    good	Ar I
5648.6863	1000    good
5650.704  	1000    good	Ar I  (1500)
5650.704  	1000    good	ArI 20
5650.7043	1000    good
5650.7043	1000    good
5650.705 	1000    good	Ar I
5652.5676 	1000    good	NeI 75   
5656.0263 	1000    good	NeI 75   
5656.6587 	1000    good	NeI 500   
5659.127  	1000    good	Ar I
5659.1272	1000    good
5659.128 	1000    good	Ar I
5659.38  	1000    good	XeII 300 
5662.5489 	1000    good	NeI 75   
5667.56  	1000    good	XeII 600 
5670.91  	1000    good	XeII 150 
5672.952	1000    good
5672.952 	1000    good	Ar
5681.9001	1000    good
5681.9001	1000    good
5681.901  	1000    good	Ar I
5681.901 	1000    good	Ar I
5689.64  	1000    good	Ar I  (200)
5689.8161 	1000    good	NeI 150   
5689.91  	1000    good	Ar I  (200)
5691.650 	1000    good	Ar II
5691.6612	1000    good
5695.75  	1000    good	XeI 100 
5699.61  	1000    good	XeII 200 
5700.873	1000    good
5700.8730	1000    good
5700.874 	1000    good	Ar I
5712.48  	1000    good	Ar I
5716.10  	1000    good	XeII 200 
5718.8829 	1000    good	NeI 150   
5719.2255 	1000    good	NeI 500   
5719.5294 	1000    good	NeI 75   
5719.6   	1000    good	XeII        
5726.91  	1000    good	XeII    500 
5738.3869	1000    good
5738.416  	1000    good	Ar I  (20)
5738.416 	1000    good	Ar I
5739.5196	1000    good
5739.521	1000    good
5739.521  	1000    good	Ar I  (500)
5739.521 	1000    good	Ar I
5748.2990 	1000    good	NeI      500   
5748.300    	1000    good	Ne
5748.6493 	1000    good	NeI       70   
5751.03  	1000    good	XeII    500 
5758.65  	1000    good	XeII    300 
5760.5896 	1000    good	NeI       70   
5764.4191 	1000    good	NeI      700   
5764.420    	1000    good	Ne
5769.598 	1000    good	Hg
5769.598 	1000    good	Hg
5770.3151 	1000    good	NeI       50   
5772.1143	1000    good
5772.116  	1000    good	Ar I  (100)
5772.116 	1000    good	Ar I  (100)
5772.326  	1000    good	Ar II (5)
5772.326 	1000    good	Ar II (5)
5774.00   	1000    good	Ar I  (40)
5774.00  	1000    good	Ar I
5774.0087	1000    good
5776.39  	1000    good	XeII    300 
5783.5360	1000    good
5783.541 	1000    good	Ar I
5789.477 	1000    good	Ar I
5790.39  	1000    good	Ar I
5790.663 	1000    good	Hg
5790.663 	1000    good	Hg
5802.0798	1000    good
5802.0798	1000    good
5802.081 	1000    good	Ar I
5802.082  	1000    good	Ar I
5804.0921 	1000    good	NeI       75   
5804.4494 	1000    good	NeI      500   
5811.4072 	1000    good	NeI      300   
5812.746 	1000    good	Ar II
5815.96  	1000    good	XeII    100 
5816.6228 	1000    good	NeI       50   
5820.1558 	1000    good	NeI      500   
5823.89  	1000    good	XeI     300 
5823.890 	1000    good	Xe
5824.80  	1000    good	XeI     150 
5828.9072 	1000    good	NeI       75   
5834.2633	1000    good
5834.2633	1000    good
5834.2633	1000    good
5834.266  	1000    good	Ar I
5834.266 	1000    good	Ar I
5852.4879 	1000    good	NeI     2000   
5852.488 	1000    good	Ne
5852.490    	1000    good	Ne
5860.3103	1000    good
5860.3103	1000    good
5860.312  	1000    good	Ar I
5860.312 	1000    good	Ar I
5868.4175 	1000    good	NeI       75   
5870.26  	1000    good	Ar I  (2)
5870.443 	1000    good	Ar II (4)
5870.900    	1000    good	Kr
