-------------------------------------------------------
Spec.   | Wavelength |  Rel. | gk | Aki       | Acc  
        |   Vacuum   |  Int. |    | (10^8s-1) |      
        |    (A)     |       |    |           |      
-------------------------------------------------------
Ne I    |  3900.8472 |    2f | 3  |           |      
Ne II   |  3904.952  |       | 4  | 8.4e-04   | D    
        |            |       |    |           |      
Ne II   |  3943.378  |       | 6  | 1.0e-02   | D    
Ne I    |  3944.660  |    2* | 5  |           |      
Ne I    |  3944.667  |    2* | 5  |           |      
Ne III  |  3968.58   |       | 5  | 5.2e-10   | C    
Ne III  |  3968.58   |       | 5  | 3.8e-13   | D    
        |            |       |    |           |      
Ne I    |  3985.178  |     2 | 3  |           |      
Ne I    |  3985.380  |    7* | 5  |           |      
Ne I    |  3985.385  |    7* | 5  |           |      
Ne I    |  3996.850  |     1 | 3  |           |      
Ne I    |  3999.738  |     1 | 3  |           |      
        |            |       |    |           |      
Ne I    |  4000.405  |     1 | 1  |           |      
Ne II   |  4000.598  |       | 4  | 3.7e-03   | D    
Ne III  |  4012.79   |       | 5  | 1.2e-13   | D    
Ne I    |  4014.887  |     1 | 5  |           |      
Ne I    |  4015.129  |     2 | 3  |           |      
        |            |       |    |           |      
Ne I    |  4021.190  |     2 | 5  |           |      
Ne I    |  4038.402  |     5 | 5  |           |      
Ne I    |  4038.756  |    15 | 3  |           |      
Ne I    |  4038.837  |     5 | 1  |           |      
Ne I    |  4043.477  |    10 | 3  |           |      
        |            |       |    |           |      
Ne I    |  4043.7674 |   50* | 5  |           |      
Ne I    |  4043.788  |   50* | 5  |           |      
Ne I    |  4046.823  |     2 | 5  |           |      
Ne I    |  4065.173  |    50 | 3  |           |      
Ne I    |  4065.976  |    15 | 1  |           |      
        |            |       |    |           |      
Ne I    |  4069.986  |    30 | 5  |           |      
Ne I    |  4070.392  |    30 | 3  |           |      
Ne I    |  4070.537  |     5 | 1  |           |      
Ne I    |  4080.503  |     2 | 3  |           |      
Ne I    |  4081.296  |    50 | 5  |           |      
        |            |       |    |           |      
Ne I    |  4113.019  |     1 | 3  |           |      
Ne I    |  4113.263  |    15 | 5  |           |      
Ne I    |  4113.853  |    20 | 3  |           |      
Ne I    |  4114.026  |    10 | 1  |           |      
Ne I    |  4128.125  |     2 | 3  |           |      
        |            |       |    |           |      
Ne I    |  4129.2397 |    30 | 5  |           |      
Ne I    |  4131.676  |    20 | 3  |           |      
Ne I    |  4132.216  |    70 | 5  |           |      
Ne I    |  4165.9810 |    50 | 3  |           |      
Ne I    |  4167.267  |    30 | 1  |           |      
        |            |       |    |           |      
Ne I    |  4175.135  |     2 | 3  |           |      
Ne I    |  4175.541  |    70 | 5  |           |      
Ne I    |  4176.396  |    60 | 3  |           |      
Ne I    |  4176.663  |    40 | 1  |           |      
Ne I    |  4197.6019 |    15 | 3  |           |      
        |            |       |    |           |      
Ne I    |  4199.2800 |    70 | 5  |           |      
Ne I    |  4204.451  |    2* | 7  |           |      
Ne I    |  4204.454  |    2* | 5  |           |      
Ne I    |  4204.463  |    2* | 5  |           |      
Ne II   |  4218.254  |       | 6  | 7.4e-02   | D    
        |            |       |    |           |      
Ne II   |  4220.558  |       | 8  | 3.3e-01   | D    
Ne II   |  4220.93   |   150 | _  |           |      
Ne II   |  4222.276  |       | 4  | 1.4e-01   | D    
Ne II   |  4225.832  |       | 2  | 1.9e-01   | D    
Ne II   |  4228.112  |       | 8  | 7.3e-03   | D    
        |            |       |    |           |      
Ne II   |  4232.724  |       | 6  | 2.2e-01   | D    
Ne I    |  4233.502  |    1* | 7  |           |      
Ne I    |  4233.514  |    1* | 9  |           |      
Ne II   |  4235.043  |   100 | 8  | 5.5e-02   | D    
Ne II   |  4241.105  |       | 6  | 1.5e-01   | D    
        |            |       |    |           |      
Ne II   |  4243.405  |       | 2  | 1.9e-01   | D    
Ne II   |  4244.059  |       | 6  | 4.8e-02   | D    
Ne II   |  4244.140  |       | 8  | 3.3e-01   | D    
Ne I    |  4250.745  |    2* | 7  |           |      
Ne I    |  4250.747  |    2* | 5  |           |      
        |            |       |    |           |      
Ne I    |  4250.752  |    2* | 5  |           |      
Ne II   |  4251.842  |   120 | 6  | 9.0e-02   | D    
Ne I    |  4253.614  |     2 | 7  |           |      
Ne I    |  4253.973  |    2* | 9  |           |      
Ne I    |  4253.976  |    2* | 7  |           |      
        |            |       |    |           |      
Ne I    |  4257.688  |    2* | 5  |           |      
Ne I    |  4257.697  |    2* | 5  |           |      
Ne II   |  4259.002  |       | 4  | 9.6e-02   | D    
Ne I    |  4260.939  |     1 | 5  |           |      
Ne I    |  4263.678  |     2 | 7  |           |      
        |            |       |    |           |      
Ne I    |  4268.4879 |     1 | 5  |           |      
Ne I    |  4268.9190 |     5 | 3  |           |      
Ne I    |  4269.2055 |    70 | 5  |           |      
Ne I    |  4270.925  |    70 | 3  |           |      
Ne I    |  4271.425  |    50 | 1  |           |      
        |            |       |    |           |      
Ne I    |  4275.863  |    50 | 3  |           |      
Ne I    |  4276.3612 |     1 | 5  |           |      
Ne I    |  4276.7615 |    70 | 5  |           |      
Ne I    |  4280.044  |     5 | 7  |           |      
Ne I    |  4280.483  |   15* | 9  |           |      
        |            |       |    |           |      
Ne I    |  4280.491  |   15* | 7  |           |      
Ne II   |  4281.643  |       | 8  | 2.8e-02   | D    
Ne II   |  4281.788  |       | 10 | 2.0e-01   | D    
