# This standard spectrum was made by Joe Hennawi by combining the
# Massey P., Strobel K., Barnes J.V., Anderson E. Astrophys. J. 328, 315 (1988)
# measurements with the Hamuy standards on the ESO webpage, i.e. 
# (Hamuy et al., PASP, 104, 533, 1992); 
#the second to wavelengths from 6000 to 10500A (Hamuy et al., PASP, 
# 106, 566, 1994). 
#http://www.eso.org/sci/observing/tools/standards/spectra/hamuystandards.html
# Note that the Massey data were presented in the Hayes-Latham system 
# system which I converted assuming they were AB mags. This probably 
# results in a small shift, but it matches on very well to the Hamuy data. 
#      LAM            FLAM (1d-16)
      5164.35       2696.4307
      5166.43       2696.7396
      5168.51       2704.5151
      5170.60       2717.3125
      5172.68       2732.6875
      5174.76       2730.4894
      5176.84       2715.7589
      5178.92       2706.0905
      5181.00       2701.4263
      5183.08       2704.2339
      5185.17       2694.6067
      5187.25       2699.8955
      5189.33       2707.6863
      5191.41       2710.5057
      5193.49       2715.8261
      5195.57       2716.1518
      5197.65       2701.5069
      5199.73       2691.8959
      5201.82       2697.1851
      5203.90       2704.9746
      5205.98       2697.8382
      5208.06       2680.8273
      5210.14       2651.6829
      5212.22       2627.6934
      5214.30       2637.7155
      5216.39       2662.4485
      5218.47       2675.0685
      5220.55       2668.0170
      5222.63       2670.8059
      5224.71       2676.0630
      5226.79       2676.3950
      5228.87       2671.8040
      5230.96       2669.6779
      5233.04       2655.2984
      5235.12       2633.7088
      5237.20       2626.7729
      5239.28       2646.5334
      5241.36       2654.1915
      5243.44       2656.9768
      5245.52       2657.3137
      5247.61       2660.1012
