 $#  Uses Murphy approved list for HIRESb 
4838.355464 1   Th
4839.103612 1   XX
4840.475242 1   XX
4840.842740 1   Th
4845.163006 1   Th
4848.362742 1   Th
4849.862041 1   Th
4850.439875 1   Th
4852.868708 1   XX
4858.332526 1   Th
4867.554787 1   Ar
4868.273716 1   Th
4868.880725 1   Th
4871.288590 1   Th
4873.627885 1   XX
4874.364234 1   Th
4878.733135 1   Th
4881.204677 1   Th
4881.597495 1   Th
4881.853970 1   Th
4882.243739 1   Ar
4887.948196 1   XX
4889.490314 1   Th
4889.857693 1   Th
4892.759664 1   Th
4893.445228 1   Th
4897.588328 1   XX
4897.926578 1   XX
4900.178054 1   XX
4902.792955 1   Th
4907.208698 1   XX
4910.156909 1   Th
4911.140413 1   Th
4912.528468 1   Th
4919.816059 1   Th
4921.614811 1   Th
4922.944940 1   Th
4924.422901 1   Th
4925.424769 1   Th
4927.299697 1   Th
4929.085714 1   Th
4929.986413 1   Th
4933.209697 1   Ar
4937.829231 1   Th
4939.270487 1   Th
4939.641603 1   Th
4941.415690 1   Th
4945.859799 1   Th
4946.662819 1   Th
4949.397483 1   Ar
4950.626354 1   Th
4955.965368 1   XX
4958.097352 1   Th
4958.724975 1   Th
4961.382796 1   Th
4961.726585 1   Th
4963.188471 1   Th
4964.118987 1   Th
4965.732215 1   Th
4968.755634 1   Th
4975.948676 1   Th
4976.594022 1   Th
4980.185897 1   Th
4980.950241 1   Th
4982.486931 1   Th
4985.372021 1   Th
4987.146715 1   Th
4992.633479 1   Th
4996.533624 1   XX
4997.325079 1   Th
4999.940293 1   Th
5002.097356 1   Th
5002.894914 1   Th
5003.598696 1   Th
5008.189708 1   Th
5009.335298 1   Ar
5010.417290 1   Th
5011.477936 1   Th
5014.448752 1   Th
5015.890001 1   Th
5016.535411 1   Th
5018.053828 1   Th
5019.806082 1   Th
5021.252837 1   Th
5023.708441 1   Th
5025.860934 1   Th
5029.891591 1   Th
5033.311842 1   Th
5036.729092 1   Th
5039.230522 1   Th
5041.600659 1   XX
5043.515543 1   Th
5045.248316 1   Th
5046.353235 1   XX
5046.637502 1   XX
5047.043744 1   Th
5047.426158 1   Th
5049.797100 1   Th
5050.784272 1   Th
5051.888619 1   Th
5054.620905 1   XX
5055.347671 1   Th
5057.986289 1   Th
5059.860949 1   Th
5061.222408 1   Th
5061.656103 1   Th
5063.514632 1   Th
5064.601734 1   Th
5064.944882 1   Th
5066.135402 1   Th
5066.777182 1   Th
5067.137803 1   Th
